ICD;Faelle;Tage;Tage_je_Fall;Jahr;Krankenhaus;Pflicht_alle;freiwillig;male
A49;10.395;76.043;7,32;2014;1;1.0;0;0
A50;64;939;14,67;2014;1;1.0;0;0
A51;69;1.206;17,48;2014;1;1.0;0;0
A52;178;4.156;23,35;2014;1;1.0;0;0
A53;42;520;12,38;2014;1;1.0;0;0
A54;214;2.517;11,76;2014;1;1.0;0;0
A55;5;30;6,00;2014;1;1.0;0;0
A56;238;1.746;7,34;2014;1;1.0;0;0
A57;10;77;7,70;2014;1;1.0;0;0
A58;14;95;6,79;2014;1;1.0;0;0
A59;114;565;4,96;2014;1;1.0;0;0
A60;2.497;17.795;7,13;2014;1;1.0;0;0
A63;3.105;25.683;8,27;2014;1;1.0;0;0
A64;22;202;9,18;2014;1;1.0;0;0
A65;3;13;4,33;2014;1;1.0;0;0
A66;37;743;20,08;2014;1;1.0;0;0
A67;5;15;3,00;2014;1;1.0;0;0
A68;639;11.627;18,20;2014;1;1.0;0;0
A69;4.431;89.490;20,20;2014;1;1.0;0;0
A70;9;87;9,67;2014;1;1.0;0;0
A71;20;102;5,10;2014;1;1.0;0;0
A74;326;4.634;14,21;2014;1;1.0;0;0
A75;11;219;19,91;2014;1;1.0;0;0
A77;21;358;17,05;2014;1;1.0;0;0
A78;102;1.332;13,06;2014;1;1.0;0;0
A79;25;410;16,40;2014;1;1.0;0;0
A80;54;645;11,94;2014;1;1.0;0;0
A81;177;1.682;9,50;2014;1;1.0;0;0
A82;10;258;25,80;2014;1;1.0;0;0
A83;26;632;24,31;2014;1;1.0;0;0
A84;100;2.468;24,68;2014;1;1.0;0;0
A85;13;41;3,15;2014;1;1.0;0;0
A86;68;2.202;32,38;2014;1;1.0;0;0
A87;312;8.965;28,73;2014;1;1.0;0;0
A88;346;3.626;10,48;2014;1;1.0;0;0
A89;70;660;9,43;2014;1;1.0;0;0
A90;89;945;10,62;2014;1;1.0;0;0
A91;7;70;10,00;2014;1;1.0;0;0
A92;17;86;5,06;2014;1;1.0;0;0
A93;11;68;6,18;2014;1;1.0;0;0
A94;20;103;5,15;2014;1;1.0;0;0
A95;3;5;1,67;2014;1;1.0;0;0
A96;13;131;10,08;2014;1;1.0;0;0
A98;51;819;16,06;2014;1;1.0;0;0
A99;222;1.187;5,35;2014;1;1.0;0;0
B00;15.566;108.914;7,00;2014;1;1.0;0;0
B01;2.907;30.041;10,33;2014;1;1.0;0;0
B02;32.229;432.471;13,42;2014;1;1.0;0;0
B03;12;80;6,67;2014;1;1.0;0;0
B04;67;989;14,76;2014;1;1.0;0;0
B05;248;2.587;10,43;2014;1;1.0;0;0
B06;307;2.522;8,21;2014;1;1.0;0;0
B07;7.673;76.461;9,96;2014;1;1.0;0;0
B08;4.072;23.826;5,85;2014;1;1.0;0;0
B09;1.540;9.474;6,15;2014;1;1.0;0;0
B15;140;2.704;19,31;2014;1;1.0;0;0
B16;242;5.154;21,30;2014;1;1.0;0;0
B17;363;10.886;29,99;2014;1;1.0;0;0
B18;1.661;52.182;31,42;2014;1;1.0;0;0
B19;108;1.938;17,94;2014;1;1.0;0;0
B20;80;1.761;22,01;2014;1;1.0;0;0
B21;16;561;35,06;2014;1;1.0;0;0
B22;19;361;19,00;2014;1;1.0;0;0
B23;99;1.416;14,30;2014;1;1.0;0;0
B24;196;4.441;22,66;2014;1;1.0;0;0
B25;639;9.300;14,55;2014;1;1.0;0;0
B26;931;7.847;8,43;2014;1;1.0;0;0
B27;6.840;93.920;13,73;2014;1;1.0;0;0
B30;2.834;20.552;7,25;2014;1;1.0;0;0
B33;3.868;25.134;6,50;2014;1;1.0;0;0
B34;370.196;2.154.987;5,82;2014;1;1.0;0;0
B35;2.502;24.857;9,93;2014;1;1.0;0;0
B36;1.052;9.049;8,60;2014;1;1.0;0;0
B37;3.128;22.830;7,30;2014;1;1.0;0;0
B38;11;172;15,64;2014;1;1.0;0;0
B39;193;1.312;6,80;2014;1;1.0;0;0
B40;26;418;16,08;2014;1;1.0;0;0
B41;11;113;10,27;2014;1;1.0;0;0
B42;33;359;10,88;2014;1;1.0;0;0
B43;107;1.140;10,65;2014;1;1.0;0;0
B44;85;2.667;31,38;2014;1;1.0;0;0
B45;17;263;15,47;2014;1;1.0;0;0
B46;30;213;7,10;2014;1;1.0;0;0
B47;7;34;4,86;2014;1;1.0;0;0
B48;123;1.460;11,87;2014;1;1.0;0;0
B49;987;7.272;7,37;2014;1;1.0;0;0
B50;87;996;11,45;2014;1;1.0;0;0
B51;52;354;6,81;2014;1;1.0;0;0
B52;30;154;5,13;2014;1;1.0;0;0
B53;44;378;8,59;2014;1;1.0;0;0
B54;87;1.024;11,77;2014;1;1.0;0;0
B55;24;183;7,62;2014;1;1.0;0;0
B56;14;317;22,64;2014;1;1.0;0;0
B57;11;46;4,18;2014;1;1.0;0;0
B58;261;3.378;12,94;2014;1;1.0;0;0
B59;27;889;32,93;2014;1;1.0;0;0
B60;24;785;32,71;2014;1;1.0;0;0
B64;2;11;5,50;2014;1;1.0;0;0
B65;36;245;6,81;2014;1;1.0;0;0
B66;110;713;6,48;2014;1;1.0;0;0
B67;66;1.962;29,73;2014;1;1.0;0;0
B68;18;198;11,00;2014;1;1.0;0;0
B69;46;917;19,93;2014;1;1.0;0;0
B70;9;358;39,78;2014;1;1.0;0;0
B71;24;190;7,92;2014;1;1.0;0;0
B72;5;60;12,00;2014;1;1.0;0;0
B73;5;28;5,60;2014;1;1.0;0;0
B74;15;142;9,47;2014;1;1.0;0;0
B76;14;64;4,57;2014;1;1.0;0;0
B77;69;852;12,35;2014;1;1.0;0;0
B78;13;69;5,31;2014;1;1.0;0;0
B79;13;101;7,77;2014;1;1.0;0;0
B80;257;1.280;4,98;2014;1;1.0;0;0
B81;32;419;13,09;2014;1;1.0;0;0
B82;63;371;5,89;2014;1;1.0;0;0
B83;245;1.349;5,51;2014;1;1.0;0;0
B85;2.930;11.686;3,99;2014;1;1.0;0;0
B86;1.388;8.357;6,02;2014;1;1.0;0;0
B87;37;309;8,35;2014;1;1.0;0;0
B88;293;1.877;6,41;2014;1;1.0;0;0
B89;126;795;6,31;2014;1;1.0;0;0
B90;31;1.317;42,48;2014;1;1.0;0;0
B91;105;3.618;34,46;2014;1;1.0;0;0
B92;3;21;7,00;2014;1;1.0;0;0
B94;148;1.115;7,53;2014;1;1.0;0;0
B95;279;4.383;15,71;2014;1;1.0;0;0
B96;357;5.464;15,31;2014;1;1.0;0;0
B97;1.978;13.607;6,88;2014;1;1.0;0;0
B98;544;6.285;11,55;2014;1;1.0;0;0
B99;119.421;774.859;6,49;2014;1;1.0;0;0
C00;61;2.831;46,41;2014;1;1.0;0;0
C01;85;7.364;86,64;2014;1;1.0;0;0
C02;240;13.265;55,27;2014;1;1.0;0;0
C03;60;3.046;50,77;2014;1;1.0;0;0
C04;113;7.760;68,67;2014;1;1.0;0;0
C05;73;4.197;57,49;2014;1;1.0;0;0
C06;58;4.256;73,38;2014;1;1.0;0;0
C07;116;6.809;58,70;2014;1;1.0;0;0
C08;55;2.784;50,62;2014;1;1.0;0;0
C09;150;14.556;97,04;2014;1;1.0;0;0
C10;190;16.896;88,93;2014;1;1.0;0;0
C11;83;6.301;75,92;2014;1;1.0;0;0
C12;10;597;59,70;2014;1;1.0;0;0
C13;92;7.957;86,49;2014;1;1.0;0;0
C14;39;2.826;72,46;2014;1;1.0;0;0
C15;251;21.265;84,72;2014;1;1.0;0;0
C16;1.099;102.919;93,65;2014;1;1.0;0;0
C17;205;8.907;43,45;2014;1;1.0;0;0
C18;10.833;257.266;23,75;2014;1;1.0;0;0
C19;206;12.081;58,65;2014;1;1.0;0;0
C20;1.567;176.600;112,70;2014;1;1.0;0;0
C21;385;28.990;75,30;2014;1;1.0;0;0
C22;336;26.292;78,25;2014;1;1.0;0;0
C23;69;8.995;130,36;2014;1;1.0;0;0
C24;96;11.853;123,47;2014;1;1.0;0;0
C25;770;73.245;95,12;2014;1;1.0;0;0
C26;534;14.844;27,80;2014;1;1.0;0;0
C30;102;2.993;29,34;2014;1;1.0;0;0
C31;82;6.267;76,43;2014;1;1.0;0;0
C32;238;12.824;53,88;2014;1;1.0;0;0
C33;5;566;113,20;2014;1;1.0;0;0
C34;2.752;297.094;107,96;2014;1;1.0;0;0
C37;33;2.639;79,97;2014;1;1.0;0;0
C38;51;3.330;65,29;2014;1;1.0;0;0
C39;14;487;34,79;2014;1;1.0;0;0
C40;156;8.647;55,43;2014;1;1.0;0;0
C41;269;20.500;76,21;2014;1;1.0;0;0
C43;6.975;136.201;19,53;2014;1;1.0;0;0
C44;8.916;97.155;10,90;2014;1;1.0;0;0
C45;56;5.902;105,39;2014;1;1.0;0;0
C46;17;253;14,88;2014;1;1.0;0;0
C47;80;4.513;56,41;2014;1;1.0;0;0
C48;84;12.931;153,94;2014;1;1.0;0;0
C49;877;46.593;53,13;2014;1;1.0;0;0
C50;39.078;4.291.916;109,83;2014;1;1.0;0;0
C51;618;50.519;81,75;2014;1;1.0;0;0
C52;93;10.346;111,25;2014;1;1.0;0;0
C54;1.480;133.021;89,88;2014;1;1.0;0;0
C55;351;30.128;85,83;2014;1;1.0;0;0
C56;2.361;245.441;103,96;2014;1;1.0;0;0
C57;172;14.381;83,61;2014;1;1.0;0;0
C58;57;2.344;41,12;2014;1;1.0;0;0
C60;7;367;52,43;2014;1;1.0;0;0
C61;24;1.100;45,83;2014;1;1.0;0;0
C62;10;178;17,80;2014;1;1.0;0;0
C63;4;59;14,75;2014;1;1.0;0;0
C64;786;62.379;79,36;2014;1;1.0;0;0
C65;35;2.089;59,69;2014;1;1.0;0;0
C66;29;1.226;42,28;2014;1;1.0;0;0
C67;1.914;57.184;29,88;2014;1;1.0;0;0
C68;172;7.565;43,98;2014;1;1.0;0;0
C69;363;16.456;45,33;2014;1;1.0;0;0
C70;50;5.267;105,34;2014;1;1.0;0;0
C71;996;111.225;111,67;2014;1;1.0;0;0
C72;74;5.754;77,76;2014;1;1.0;0;0
C73;3.591;122.248;34,04;2014;1;1.0;0;0
C74;83;5.206;62,72;2014;1;1.0;0;0
C75;166;9.298;56,01;2014;1;1.0;0;0
C76;172;11.133;64,73;2014;1;1.0;0;0
C77;605;55.136;91,13;2014;1;1.0;0;0
C78;1.255;125.663;100,13;2014;1;1.0;0;0
C79;1.351;140.789;104,21;2014;1;1.0;0;0
C80;925;78.962;85,36;2014;1;1.0;0;0
C81;918;62.770;68,38;2014;1;1.0;0;0
C82;590;27.864;47,23;2014;1;1.0;0;0
C83;491;35.582;72,47;2014;1;1.0;0;0
C84;179;6.774;37,84;2014;1;1.0;0;0
C85;1.761;124.589;70,75;2014;1;1.0;0;0
C88;137;2.451;17,89;2014;1;1.0;0;0
C90;581;49.310;84,87;2014;1;1.0;0;0
C91;650;40.225;61,88;2014;1;1.0;0;0
C92;742;54.784;73,83;2014;1;1.0;0;0
C93;23;2.905;126,30;2014;1;1.0;0;0
C94;14;173;12,36;2014;1;1.0;0;0
C95;150;13.915;92,77;2014;1;1.0;0;0
C96;90;3.163;35,14;2014;1;1.0;0;0
C97;33;1.790;54,24;2014;1;1.0;0;0
D00;53;2.408;45,43;2014;1;1.0;0;0
D01;361;5.712;15,82;2014;1;1.0;0;0
D02;90;2.461;27,34;2014;1;1.0;0;0
D03;883;7.203;8,16;2014;1;1.0;0;0
D04;473;6.279;13,27;2014;1;1.0;0;0
D05;1.771;127.357;71,91;2014;1;1.0;0;0
D06;3.157;61.366;19,44;2014;1;1.0;0;0
D07;558;12.815;22,97;2014;1;1.0;0;0
D09;269;8.260;30,71;2014;1;1.0;0;0
D10;729;6.801;9,33;2014;1;1.0;0;0
D11;801;17.490;21,84;2014;1;1.0;0;0
D12;7.615;34.482;4,53;2014;1;1.0;0;0
D13;2.105;18.548;8,81;2014;1;1.0;0;0
D14;395;9.063;22,94;2014;1;1.0;0;0
D15;95;7.857;82,71;2014;1;1.0;0;0
D16;1.332;37.666;28,28;2014;1;1.0;0;0
D17;9.248;106.811;11,55;2014;1;1.0;0;0
D18;1.926;43.958;22,82;2014;1;1.0;0;0
D19;27;869;32,19;2014;1;1.0;0;0
D20;94;1.305;13,88;2014;1;1.0;0;0
D21;5.728;70.683;12,34;2014;1;1.0;0;0
D22;28.938;96.429;3,33;2014;1;1.0;0;0
D23;5.850;35.732;6,11;2014;1;1.0;0;0
D24;4.510;59.147;13,11;2014;1;1.0;0;0
D25;33.165;1.002.594;30,23;2014;1;1.0;0;0
D26;714;13.514;18,93;2014;1;1.0;0;0
D27;4.492;78.963;17,58;2014;1;1.0;0;0
D28;646;7.553;11,69;2014;1;1.0;0;0
D29;51;591;11,59;2014;1;1.0;0;0
D30;181;3.367;18,60;2014;1;1.0;0;0
D31;395;3.468;8,78;2014;1;1.0;0;0
D32;1.440;124.740;86,62;2014;1;1.0;0;0
D33;667;47.354;71,00;2014;1;1.0;0;0
D34;766;13.880;18,12;2014;1;1.0;0;0
D35;1.287;37.549;29,18;2014;1;1.0;0;0
D36;3.117;57.541;18,46;2014;1;1.0;0;0
D37;5.283;106.536;20,17;2014;1;1.0;0;0
D38;1.041;63.493;60,99;2014;1;1.0;0;0
D39;7.636;213.415;27,95;2014;1;1.0;0;0
D40;20;109;5,45;2014;1;1.0;0;0
D41;1.309;50.754;38,77;2014;1;1.0;0;0
D42;53;4.000;75,47;2014;1;1.0;0;0
D43;738;67.136;90,97;2014;1;1.0;0;0
D44;901;29.973;33,27;2014;1;1.0;0;0
D45;228;3.784;16,60;2014;1;1.0;0;0
D46;299;13.127;43,90;2014;1;1.0;0;0
D47;897;17.640;19,67;2014;1;1.0;0;0
D48;27.865;543.594;19,51;2014;1;1.0;0;0
D50;8.320;130.612;15,70;2014;1;1.0;0;0
D51;326;4.596;14,10;2014;1;1.0;0;0
D52;85;2.160;25,41;2014;1;1.0;0;0
D53;118;2.391;20,26;2014;1;1.0;0;0
D55;39;833;21,36;2014;1;1.0;0;0
D56;277;2.674;9,65;2014;1;1.0;0;0
D57;108;1.943;17,99;2014;1;1.0;0;0
D58;89;1.947;21,88;2014;1;1.0;0;0
D59;301;11.978;39,79;2014;1;1.0;0;0
D60;66;1.294;19,61;2014;1;1.0;0;0
D61;286;13.970;48,85;2014;1;1.0;0;0
D62;325;11.569;35,60;2014;1;1.0;0;0
D63;63;2.836;45,02;2014;1;1.0;0;0
D64;5.728;110.871;19,36;2014;1;1.0;0;0
D65;21;483;23,00;2014;1;1.0;0;0
D66;49;648;13,22;2014;1;1.0;0;0
D67;8;238;29,75;2014;1;1.0;0;0
D68;1.103;20.627;18,70;2014;1;1.0;0;0
D69;1.500;30.955;20,64;2014;1;1.0;0;0
D70;446;11.995;26,89;2014;1;1.0;0;0
D71;6;52;8,67;2014;1;1.0;0;0
D72;597;8.990;15,06;2014;1;1.0;0;0
D73;138;5.339;38,69;2014;1;1.0;0;0
D74;4;53;13,25;2014;1;1.0;0;0
D75;397;8.526;21,48;2014;1;1.0;0;0
D76;43;2.002;46,56;2014;1;1.0;0;0
D77;5;18;3,60;2014;1;1.0;0;0
D80;1.314;14.944;11,37;2014;1;1.0;0;0
D81;52;2.007;38,60;2014;1;1.0;0;0
D82;28;427;15,25;2014;1;1.0;0;0
D83;113;1.174;10,39;2014;1;1.0;0;0
D84;467;6.862;14,69;2014;1;1.0;0;0
D86;2.034;62.767;30,86;2014;1;1.0;0;0
D89;320;3.124;9,76;2014;1;1.0;0;0
D90;63;1.504;23,87;2014;1;1.0;0;0
E00;25;193;7,72;2014;1;1.0;0;0
E01;1.599;28.708;17,95;2014;1;1.0;0;0
E02;30;507;16,90;2014;1;1.0;0;0
E03;5.941;107.999;18,18;2014;1;1.0;0;0
E04;22.446;478.074;21,30;2014;1;1.0;0;0
E05;12.543;224.478;17,90;2014;1;1.0;0;0
E06;3.916;74.836;19,11;2014;1;1.0;0;0
E07;2.018;36.090;17,88;2014;1;1.0;0;0
E10;6.558;96.980;14,79;2014;1;1.0;0;0
E11;10.402;205.751;19,78;2014;1;1.0;0;0
E12;41;872;21,27;2014;1;1.0;0;0
E13;362;6.940;19,17;2014;1;1.0;0;0
E14;3.786;73.118;19,31;2014;1;1.0;0;0
E15;48;757;15,77;2014;1;1.0;0;0
E16;1.487;13.558;9,12;2014;1;1.0;0;0
E20;117;4.277;36,56;2014;1;1.0;0;0
E21;514;10.660;20,74;2014;1;1.0;0;0
E22;206;3.223;15,65;2014;1;1.0;0;0
E23;393;6.798;17,30;2014;1;1.0;0;0
E24;220;8.789;39,95;2014;1;1.0;0;0
E25;142;1.859;13,09;2014;1;1.0;0;0
E26;149;2.981;20,01;2014;1;1.0;0;0
E27;338;8.217;24,31;2014;1;1.0;0;0
E28;953;8.309;8,72;2014;1;1.0;0;0
E29;12;57;4,75;2014;1;1.0;0;0
E30;21;197;9,38;2014;1;1.0;0;0
E31;41;751;18,32;2014;1;1.0;0;0
E32;154;3.620;23,51;2014;1;1.0;0;0
E34;719;9.126;12,69;2014;1;1.0;0;0
E35;8;22;2,75;2014;1;1.0;0;0
E40;8;83;10,38;2014;1;1.0;0;0
E41;63;2.858;45,37;2014;1;1.0;0;0
E42;24;217;9,04;2014;1;1.0;0;0
E43;11;164;14,91;2014;1;1.0;0;0
E44;21;860;40,95;2014;1;1.0;0;0
E45;10;379;37,90;2014;1;1.0;0;0
E46;37;687;18,57;2014;1;1.0;0;0
E50;49;1.601;32,67;2014;1;1.0;0;0
E51;39;638;16,36;2014;1;1.0;0;0
E52;20;496;24,80;2014;1;1.0;0;0
E53;307;6.677;21,75;2014;1;1.0;0;0
E54;2;15;7,50;2014;1;1.0;0;0
E55;101;2.465;24,41;2014;1;1.0;0;0
E56;48;1.184;24,67;2014;1;1.0;0;0
E58;14;231;16,50;2014;1;1.0;0;0
E59;4;103;25,75;2014;1;1.0;0;0
E60;13;132;10,15;2014;1;1.0;0;0
E61;952;9.485;9,96;2014;1;1.0;0;0
E63;36;836;23,22;2014;1;1.0;0;0
E64;22;369;16,77;2014;1;1.0;0;0
E65;562;17.290;30,77;2014;1;1.0;0;0
E66;5.523;227.469;41,19;2014;1;1.0;0;0
E67;31;418;13,48;2014;1;1.0;0;0
E68;47;1.768;37,62;2014;1;1.0;0;0
E70;46;471;10,24;2014;1;1.0;0;0
E71;35;238;6,80;2014;1;1.0;0;0
E72;56;1.205;21,52;2014;1;1.0;0;0
E73;2.993;12.060;4,03;2014;1;1.0;0;0
E74;1.247;6.502;5,21;2014;1;1.0;0;0
E75;164;1.361;8,30;2014;1;1.0;0;0
E76;50;1.094;21,88;2014;1;1.0;0;0
E77;17;287;16,88;2014;1;1.0;0;0
E78;1.852;51.467;27,79;2014;1;1.0;0;0
E79;417;9.342;22,40;2014;1;1.0;0;0
E80;294;6.315;21,48;2014;1;1.0;0;0
E83;893;10.730;12,02;2014;1;1.0;0;0
E84;1.067;15.111;14,16;2014;1;1.0;0;0
E85;164;2.673;16,30;2014;1;1.0;0;0
E86;1.633;14.374;8,80;2014;1;1.0;0;0
E87;997;23.218;23,29;2014;1;1.0;0;0
E88;1.218;21.442;17,60;2014;1;1.0;0;0
E89;1.962;52.256;26,63;2014;1;1.0;0;0
E90;11;116;10,55;2014;1;1.0;0;0
F00;56;3.210;57,32;2014;1;1.0;0;0
F01;86;3.404;39,58;2014;1;1.0;0;0
F02;27;1.525;56,48;2014;1;1.0;0;0
F03;275;15.950;58,00;2014;1;1.0;0;0
F04;22;505;22,95;2014;1;1.0;0;0
F05;145;5.124;35,34;2014;1;1.0;0;0
F06;1.380;62.990;45,64;2014;1;1.0;0;0
F07;972;32.265;33,19;2014;1;1.0;0;0
F09;1.116;27.524;24,66;2014;1;1.0;0;0
F10;18.460;562.030;30,45;2014;1;1.0;0;0
F11;1.144;35.414;30,96;2014;1;1.0;0;0
F12;430;22.282;51,82;2014;1;1.0;0;0
F13;1.344;31.576;23,49;2014;1;1.0;0;0
F14;88;3.875;44,03;2014;1;1.0;0;0
F15;258;8.923;34,59;2014;1;1.0;0;0
F16;35;1.003;28,66;2014;1;1.0;0;0
F17;1.543;50.426;32,68;2014;1;1.0;0;0
F18;92;2.969;32,27;2014;1;1.0;0;0
F19;1.792;65.087;36,32;2014;1;1.0;0;0
F20;10.243;484.562;47,31;2014;1;1.0;0;0
F21;241;13.886;57,62;2014;1;1.0;0;0
F22;895;61.465;68,68;2014;1;1.0;0;0
F23;2.569;126.717;49,33;2014;1;1.0;0;0
F24;13;157;12,08;2014;1;1.0;0;0
F25;4.035;246.104;60,99;2014;1;1.0;0;0
F28;122;4.380;35,90;2014;1;1.0;0;0
F29;1.525;57.830;37,92;2014;1;1.0;0;0
F30;1.307;42.011;32,14;2014;1;1.0;0;0
F31;5.083;374.666;73,71;2014;1;1.0;0;0
F32;287.974;14.194.178;49,29;2014;1;1.0;0;0
F33;51.709;3.864.342;74,73;2014;1;1.0;0;0
F34;9.272;447.550;48,27;2014;1;1.0;0;0
F38;375;9.911;26,43;2014;1;1.0;0;0
F39;564;12.725;22,56;2014;1;1.0;0;0
F40;3.889;245.029;63,01;2014;1;1.0;0;0
F41;57.193;2.763.250;48,31;2014;1;1.0;0;0
F42;2.169;147.518;68,01;2014;1;1.0;0;0
F43;288.644;7.298.710;25,29;2014;1;1.0;0;0
F44;1.876;74.635;39,78;2014;1;1.0;0;0
F45;137.496;3.367.484;24,49;2014;1;1.0;0;0
F48;169.241;3.854.792;22,78;2014;1;1.0;0;0
F50;3.853;264.072;68,54;2014;1;1.0;0;0
F51;4.534;103.238;22,77;2014;1;1.0;0;0
F52;136;4.991;36,70;2014;1;1.0;0;0
F53;235;7.926;33,73;2014;1;1.0;0;0
F54;2.166;48.464;22,37;2014;1;1.0;0;0
F55;101;5.119;50,68;2014;1;1.0;0;0
F59;389;8.010;20,59;2014;1;1.0;0;0
F60;8.064;528.713;65,56;2014;1;1.0;0;0
F61;711;73.905;103,95;2014;1;1.0;0;0
F62;602;26.351;43,77;2014;1;1.0;0;0
F63;201;14.118;70,24;2014;1;1.0;0;0
F64;208;8.144;39,15;2014;1;1.0;0;0
F65;9;589;65,44;2014;1;1.0;0;0
F66;63;1.500;23,81;2014;1;1.0;0;0
F68;1.854;39.256;21,17;2014;1;1.0;0;0
F69;361;9.040;25,04;2014;1;1.0;0;0
F70;559;10.535;18,85;2014;1;1.0;0;0
F71;469;8.124;17,32;2014;1;1.0;0;0
F72;125;2.433;19,46;2014;1;1.0;0;0
F73;72;2.481;34,46;2014;1;1.0;0;0
F74;9;105;11,67;2014;1;1.0;0;0
F78;21;1.027;48,90;2014;1;1.0;0;0
F79;321;6.454;20,11;2014;1;1.0;0;0
F80;103;2.654;25,77;2014;1;1.0;0;0
F81;68;2.843;41,81;2014;1;1.0;0;0
F82;64;1.713;26,77;2014;1;1.0;0;0
F83;52;1.551;29,83;2014;1;1.0;0;0
F84;149;3.673;24,65;2014;1;1.0;0;0
F88;6;391;65,17;2014;1;1.0;0;0
F89;22;582;26,45;2014;1;1.0;0;0
F90;465;21.331;45,87;2014;1;1.0;0;0
F91;757;13.226;17,47;2014;1;1.0;0;0
F92;243;6.462;26,59;2014;1;1.0;0;0
F93;106;3.173;29,93;2014;1;1.0;0;0
F94;33;785;23,79;2014;1;1.0;0;0
F95;193;4.699;24,35;2014;1;1.0;0;0
F98;257;6.679;25,99;2014;1;1.0;0;0
F99;8.225;184.708;22,46;2014;1;1.0;0;0
G00;181;6.634;36,65;2014;1;1.0;0;0
G01;12;203;16,92;2014;1;1.0;0;0
G02;49;1.368;27,92;2014;1;1.0;0;0
G03;881;26.773;30,39;2014;1;1.0;0;0
G04;1.835;64.759;35,29;2014;1;1.0;0;0
G05;33;1.977;59,91;2014;1;1.0;0;0
G06;139;5.812;41,81;2014;1;1.0;0;0
G07;3;15;5,00;2014;1;1.0;0;0
G08;241;7.526;31,23;2014;1;1.0;0;0
G09;99;3.026;30,57;2014;1;1.0;0;0
G10;80;6.482;81,02;2014;1;1.0;0;0
G11;299;8.592;28,74;2014;1;1.0;0;0
G12;238;13.950;58,61;2014;1;1.0;0;0
G13;35;927;26,49;2014;1;1.0;0;0
G14;19;366;19,26;2014;1;1.0;0;0
G20;819;45.678;55,77;2014;1;1.0;0;0
G21;90;3.633;40,37;2014;1;1.0;0;0
G22;15;277;18,47;2014;1;1.0;0;0
G23;59;2.037;34,53;2014;1;1.0;0;0
G24;5.164;66.276;12,83;2014;1;1.0;0;0
G25;1.687;39.825;23,61;2014;1;1.0;0;0
G26;13;134;10,31;2014;1;1.0;0;0
G30;80;5.873;73,41;2014;1;1.0;0;0
G31;217;6.848;31,56;2014;1;1.0;0;0
G32;39;2.290;58,72;2014;1;1.0;0;0
G35;23.620;662.226;28,04;2014;1;1.0;0;0
G36;157;4.013;25,56;2014;1;1.0;0;0
G37;322;15.953;49,54;2014;1;1.0;0;0
G40;15.210;299.745;19,71;2014;1;1.0;0;0
G41;331;9.568;28,91;2014;1;1.0;0;0
G43;224.429;935.858;4,17;2014;1;1.0;0;0
G44;37.722;277.466;7,36;2014;1;1.0;0;0
G45;5.452;136.532;25,04;2014;1;1.0;0;0
G46;105;3.722;35,45;2014;1;1.0;0;0
G47;29.382;409.207;13,93;2014;1;1.0;0;0
G50;8.037;133.396;16,60;2014;1;1.0;0;0
G51;3.742;104.492;27,92;2014;1;1.0;0;0
G52;319;8.296;26,01;2014;1;1.0;0;0
G53;540;14.278;26,44;2014;1;1.0;0;0
G54;3.347;102.711;30,69;2014;1;1.0;0;0
G55;2.992;127.588;42,64;2014;1;1.0;0;0
G56;68.113;2.146.210;31,51;2014;1;1.0;0;0
G57;3.478;111.955;32,19;2014;1;1.0;0;0
