ICD,Faelle,Tage,Tage_je_Fall,Jahr,Krankenhaus,Pflicht_alle,freiwillig,male
Q32,8,68,8.5,2014,1,1.0,0,0
Q33,15,1300,86.67,2014,1,1.0,0,0
Q34,9,166,18.44,2014,1,1.0,0,0
Q35,39,669,17.15,2014,1,1.0,0,0
Q36,6,42,7.0,2014,1,1.0,0,0
Q37,119,2253,18.93,2014,1,1.0,0,0
Q38,70,448,6.4,2014,1,1.0,0,0
Q39,52,690,13.27,2014,1,1.0,0,0
Q40,121,1014,8.38,2014,1,1.0,0,0
Q41,2,2,1.0,2014,1,1.0,0,0
Q42,22,525,23.86,2014,1,1.0,0,0
Q43,761,7826,10.28,2014,1,1.0,0,0
Q44,247,8159,33.03,2014,1,1.0,0,0
Q45,46,662,14.39,2014,1,1.0,0,0
Q51,538,6597,12.26,2014,1,1.0,0,0
Q53,6,29,4.83,2014,1,1.0,0,0
Q54,1,1,1.0,2014,1,1.0,0,0
Q55,5,40,8.0,2014,1,1.0,0,0
Q56,17,316,18.59,2014,1,1.0,0,0
Q60,71,1330,18.73,2014,1,1.0,0,0
Q61,395,8388,21.24,2014,1,1.0,0,0
Q62,124,2793,22.52,2014,1,1.0,0,0
Q63,140,2700,19.29,2014,1,1.0,0,0
Q64,135,1833,13.58,2014,1,1.0,0,0
Q65,2336,120564,51.61,2014,1,1.0,0,0
Q66,6031,144155,23.9,2014,1,1.0,0,0
Q67,411,8074,19.64,2014,1,1.0,0,0
Q68,139,5504,39.6,2014,1,1.0,0,0
Q69,29,365,12.59,2014,1,1.0,0,0
Q70,47,1583,33.68,2014,1,1.0,0,0
Q71,45,2075,46.11,2014,1,1.0,0,0
Q72,75,1747,23.29,2014,1,1.0,0,0
Q73,33,914,27.7,2014,1,1.0,0,0
Q74,1159,38459,33.18,2014,1,1.0,0,0
Q75,38,1092,28.74,2014,1,1.0,0,0
Q76,289,7946,27.49,2014,1,1.0,0,0
Q77,21,419,19.95,2014,1,1.0,0,0
Q78,306,10984,35.9,2014,1,1.0,0,0
Q79,380,3269,8.6,2014,1,1.0,0,0
Q80,20,197,9.85,2014,1,1.0,0,0
Q81,46,959,20.85,2014,1,1.0,0,0
Q82,1030,14426,14.01,2014,1,1.0,0,0
Q83,791,14753,18.65,2014,1,1.0,0,0
Q84,140,2061,14.72,2014,1,1.0,0,0
Q85,374,8463,22.63,2014,1,1.0,0,0
Q86,9,149,16.56,2014,1,1.0,0,0
Q87,258,5042,19.54,2014,1,1.0,0,0
Q89,422,6117,14.5,2014,1,1.0,0,0
Q90,195,2732,14.01,2014,1,1.0,0,0
Q91,46,919,19.98,2014,1,1.0,0,0
Q92,41,904,22.05,2014,1,1.0,0,0
Q93,10,157,15.7,2014,1,1.0,0,0
Q95,4,147,36.75,2014,1,1.0,0,0
Q96,34,389,11.44,2014,1,1.0,0,0
Q98,1,3,3.0,2014,1,1.0,0,0
Q99,118,904,7.66,2014,1,1.0,0,0
R00,17718,198514,11.2,2014,1,1.0,0,0
R01,209,1703,8.15,2014,1,1.0,0,0
R02,289,8681,30.04,2014,1,1.0,0,0
R03,1457,15423,10.59,2014,1,1.0,0,0
R04,6098,39939,6.55,2014,1,1.0,0,0
R05,37002,243892,6.59,2014,1,1.0,0,0
R06,15136,218608,14.44,2014,1,1.0,0,0
R07,35762,316088,8.84,2014,1,1.0,0,0
R09,6057,71390,11.79,2014,1,1.0,0,0
R10,311664,2295842,7.37,2014,1,1.0,0,0
R11,102655,534655,5.21,2014,1,1.0,0,0
R12,2738,15362,5.61,2014,1,1.0,0,0
R13,2062,18759,9.1,2014,1,1.0,0,0
R14,2915,16646,5.71,2014,1,1.0,0,0
R15,519,13238,25.51,2014,1,1.0,0,0
R16,378,6087,16.1,2014,1,1.0,0,0
R17,344,18761,54.54,2014,1,1.0,0,0
R18,513,25576,49.86,2014,1,1.0,0,0
R19,6414,68663,10.71,2014,1,1.0,0,0
R20,8029,140980,17.56,2014,1,1.0,0,0
R21,3493,24115,6.9,2014,1,1.0,0,0
R22,1812,29002,16.01,2014,1,1.0,0,0
R23,1359,10292,7.57,2014,1,1.0,0,0
R25,2533,33320,13.15,2014,1,1.0,0,0
R26,1021,32596,31.93,2014,1,1.0,0,0
R27,452,10817,23.93,2014,1,1.0,0,0
R29,2460,35153,14.29,2014,1,1.0,0,0
R30,2717,12750,4.69,2014,1,1.0,0,0
R31,4380,30352,6.93,2014,1,1.0,0,0
R32,1646,43466,26.41,2014,1,1.0,0,0
R33,463,7084,15.3,2014,1,1.0,0,0
R34,43,490,11.4,2014,1,1.0,0,0
R35,780,5170,6.63,2014,1,1.0,0,0
R36,29,100,3.45,2014,1,1.0,0,0
R39,1304,14178,10.87,2014,1,1.0,0,0
R40,852,13633,16.0,2014,1,1.0,0,0
R41,1522,21081,13.85,2014,1,1.0,0,0
R42,92589,909461,9.82,2014,1,1.0,0,0
R43,362,5371,14.84,2014,1,1.0,0,0
R44,128,2145,16.76,2014,1,1.0,0,0
R45,14386,231417,16.09,2014,1,1.0,0,0
R46,527,5622,10.67,2014,1,1.0,0,0
R47,517,25568,49.45,2014,1,1.0,0,0
R48,119,2864,24.07,2014,1,1.0,0,0
R49,10125,99376,9.81,2014,1,1.0,0,0
R50,58605,405498,6.92,2014,1,1.0,0,0
R51,130974,764544,5.84,2014,1,1.0,0,0
R52,25935,575943,22.21,2014,1,1.0,0,0
R53,97227,1420501,14.61,2014,1,1.0,0,0
R54,39,811,20.79,2014,1,1.0,0,0
R55,27003,279488,10.35,2014,1,1.0,0,0
R56,2455,37719,15.36,2014,1,1.0,0,0
R57,5712,45979,8.05,2014,1,1.0,0,0
R58,1282,14527,11.33,2014,1,1.0,0,0
R59,5711,83870,14.69,2014,1,1.0,0,0
R60,5282,76180,14.42,2014,1,1.0,0,0
R61,1267,13759,10.86,2014,1,1.0,0,0
R62,64,1229,19.2,2014,1,1.0,0,0
R63,4131,96241,23.3,2014,1,1.0,0,0
R64,227,11439,50.39,2014,1,1.0,0,0
R65,31,547,17.65,2014,1,1.0,0,0
R68,4948,49965,10.1,2014,1,1.0,0,0
R69,31356,432968,13.81,2014,1,1.0,0,0
R70,204,3051,14.96,2014,1,1.0,0,0
R71,11,282,25.64,2014,1,1.0,0,0
R72,31,479,15.45,2014,1,1.0,0,0
R73,850,11659,13.72,2014,1,1.0,0,0
R74,782,9223,11.79,2014,1,1.0,0,0
R75,2,27,13.5,2014,1,1.0,0,0
R76,39,445,11.41,2014,1,1.0,0,0
R77,40,882,22.05,2014,1,1.0,0,0
R78,30,1009,33.63,2014,1,1.0,0,0
R79,138,2790,20.22,2014,1,1.0,0,0
R80,261,2386,9.14,2014,1,1.0,0,0
R81,50,521,10.42,2014,1,1.0,0,0
R82,324,3274,10.1,2014,1,1.0,0,0
R83,54,937,17.35,2014,1,1.0,0,0
R84,141,1077,7.64,2014,1,1.0,0,0
R85,421,1023,2.43,2014,1,1.0,0,0
R86,4,14,3.5,2014,1,1.0,0,0
R87,5437,80204,14.75,2014,1,1.0,0,0
R89,270,3638,13.47,2014,1,1.0,0,0
R90,143,6271,43.85,2014,1,1.0,0,0
R91,348,17479,50.23,2014,1,1.0,0,0
R92,1841,31031,16.86,2014,1,1.0,0,0
R93,512,4287,8.37,2014,1,1.0,0,0
R94,3670,34000,9.26,2014,1,1.0,0,0
R95,11,331,30.09,2014,1,1.0,0,0
R96,32,237,7.41,2014,1,1.0,0,0
R98,7,91,13.0,2014,1,1.0,0,0
R99,288,2480,8.61,2014,1,1.0,0,0
S00,21595,177921,8.24,2014,1,1.0,0,0
S01,5521,54668,9.9,2014,1,1.0,0,0
S02,5247,96152,18.33,2014,1,1.0,0,0
S03,516,5939,11.51,2014,1,1.0,0,0
S04,73,1588,21.75,2014,1,1.0,0,0
S05,7004,37035,5.29,2014,1,1.0,0,0
S06,18486,262354,14.19,2014,1,1.0,0,0
S07,15,192,12.8,2014,1,1.0,0,0
S08,51,1753,34.37,2014,1,1.0,0,0
S09,1340,15139,11.3,2014,1,1.0,0,0
S10,503,5197,10.33,2014,1,1.0,0,0
S11,52,596,11.46,2014,1,1.0,0,0
S12,286,20659,72.23,2014,1,1.0,0,0
S13,40496,479302,11.84,2014,1,1.0,0,0
S14,99,6265,63.28,2014,1,1.0,0,0
S15,25,229,9.16,2014,1,1.0,0,0
S16,187,1737,9.29,2014,1,1.0,0,0
S17,17,122,7.18,2014,1,1.0,0,0
